name,price,stars,product_link
"itel A18 5.0"" 1GB RAM/32GB ROM Android 11 - Morion Grey","₦ 46,990",4 out of 5,https://www.jumia.com.ng/itel-a18-5.0-1gb-ram32gb-rom-android-11-morion-grey-204388771.html
"itel S23 6.6"" 90Hz HD+, 128GB ROM + Up To 8GB RAM, 5000mAh Type-C, 50MP Clear Camera, 4G, Fingerprint & Face ID - White","₦ 96,450",3.9 out of 5,https://www.jumia.com.ng/itel-s23-6.6-90hz-hd-128gb-rom-up-to-8gb-ram-5000mah-type-c-50mp-clear-camera-4g-fingerprint-face-id-white-249277946.html
"itel P40 Plus 6.6"" 4GB RAM/128GB ROM Android 13 - Black","₦ 102,000",4.5 out of 5,https://www.jumia.com.ng/itel-p40-plus-6.6-4gb-ram128gb-rom-android-13-black-249754068.html
"itel A04 6.3"" HD+ Screen, 2GB RAM + 32GB ROM, 4000mAh, 5MP Camera, 3G, Fingerprint & Face Unlock - Cyan +Free Case","₦ 56,750",4.2 out of 5,https://www.jumia.com.ng/itel-a04-6.3-hd-screen-2gb-ram-32gb-rom-4000mah-5mp-camera-3g-fingerprint-face-unlock-cyan-free-case-241113737.html
"itel A60 6.6"" HD+, 2GB RAM/32GB ROM Android 12 - Black","₦ 59,950",4.3 out of 5,https://www.jumia.com.ng/itel-a60-6.6-hd-2gb-ram32gb-rom-android-12-black-219939135.html
itel 20000mAh Dual Output Fast Charging Power Bank,"₦ 12,490",4.2 out of 5,https://www.jumia.com.ng/itel-20000mah-dual-output-fast-charging-power-bank-98332547.html
"itel P40 Plus 6.6"", 128GB ROM + 4GB RAM, 7000mAh 18W, 13MP","₦ 106,990",4.3 out of 5,https://www.jumia.com.ng/itel-p40-plus-6.6-128gb-rom-4gb-ram-7000mah-18w-13mp-251240482.html
"itel 5626 2.8"" Screen, 2500mAh Battery, Triple SIM, Loudspeaker","₦ 19,499",4.4 out of 5,https://www.jumia.com.ng/itel-5626-2.8-screen-2500mah-battery-triple-sim-loudspeaker-127679423.html
"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Gold","₦ 59,990",4.7 out of 5,https://www.jumia.com.ng/itel-p40-6.6-4gb-ram64gb-rom-android-12-gold-263359048.html
"itel A18 5.0"" 1GB RAM/32GB ROM Android 11 - Blue","₦ 47,250",3.8 out of 5,https://www.jumia.com.ng/a18-5.0-screen-32gb-rom-1gb-ram-2400mah-android-11-3g-itel-mpg1680112.html
"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 59,999",4.8 out of 5,https://www.jumia.com.ng/itel-p40-6.6-4gb-ram64gb-rom-android-12-black-263359044.html
"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 68,590",4.3 out of 5,https://www.jumia.com.ng/itel-p40-6.6-4gb-ram64gb-rom-android-12-black-237104317.html
"itel S23 6.6"" 128GB + 4GB RAM, 5000mAh  50MP  BLACK","₦ 99,998",4.7 out of 5,https://www.jumia.com.ng/itel-s23-6.6-128gb-4gb-ram-5000mah-50mp-black-252705137.html
"itel 2160,1.77Screen,Rear Camera, Facebook,1000mAh - Black","₦ 8,990",3.9 out of 5,https://www.jumia.com.ng/itel-21601.77screenrear-camera-facebook1000mah-black-236139155.html
"itel A70 6.6""HD 4GB RAM 128GB ROM Android 12 - Blue","₦ 78,900",5 out of 5,https://www.jumia.com.ng/itel-a70-6.6hd-4gb-ram-128gb-rom-android-12-blue-264154134.html
"itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh","₦ 95,990",4.3 out of 5,https://www.jumia.com.ng/itel-s23-6.6-128gb-rom-up-to-8gb-ram-50mp-camera-5000mah-246479162.html
"itel 5626 2.8"" Screen 2500mAh Battery","₦ 19,990",4.6 out of 5,https://www.jumia.com.ng/itel-5626-2.8-screen-2500mah-battery-67720940.html
itel 32 Inches LED TV (A3241) + 1 year Warranty,"₦ 68,500",4.5 out of 5,https://www.jumia.com.ng/itel-32-inches-led-tv-a3241-1-year-warranty-263130549.html
"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 72,990",4.3 out of 5,https://www.jumia.com.ng/itel-p40-6.6-4gb-ram64gb-rom-android-12-black-237710594.html
"itel 20000mAh Fast Charging, Bright Torch Power Bank + Free Fast Charger","₦ 14,990",4.2 out of 5,https://www.jumia.com.ng/itel-20000mah-fast-charging-bright-torch-power-bank-free-fast-charger-105122577.html
"itel S23 Plus 6.78"", 256GB ROM + Up To 16GB RAM, 5000mAh, 50MP","₦ 187,750",4.3 out of 5,https://www.jumia.com.ng/s23-plus-6.78-256gb-rom-up-to-16gb-ram-5000mah-50mp-itel-mpg3790229.html
itel S23 128GB + 4GB Android 12 SKY BLUE,"₦ 87,600",4 out of 5,https://www.jumia.com.ng/itel-s23-128gb-4gb-android-12-sky-blue-262536744.html
itel 2163 Wireless FM Torchlight Dual SIM - Black,"₦ 8,990",4.3 out of 5,https://www.jumia.com.ng/itel-2163-wireless-fm-torchlight-dual-sim-black-84833750.html
"itel A70 6.6""HD 4GB RAM 128GB ROM Android 12 - Black","₦ 78,900",4 out of 5,https://www.jumia.com.ng/itel-a70-6.6hd-4gb-ram-128gb-rom-android-12-black-268221070.html
itel S23 128GB + 4GB Android 12 WHITE,"₦ 86,000",5 out of 5,https://www.jumia.com.ng/itel-s23-128gb-4gb-android-12-white-263349311.html
"itel A04 6.3"" Screen, 2GB RAM + 32GB ROM, 4000mAh, 5MP AI Camera","₦ 57,990",3.8 out of 5,https://www.jumia.com.ng/a04-6.3-screen-2gb-ram-32gb-rom-4000mah-5mp-ai-camera-itel-mpg3790218.html
